text,emotion,texto_limpio,label_codificada
termine bien abrumado después de hoy,Preocupado,termine bien abrumado después de hoy,13
me siento abrumado,Preocupado,me siento abrumado,13
"Me siento un poco abrumado por la cantidad de cosas que quiero dibujar, ver, jugar y leer. Odio esta sensación xdddd",Preocupado,me siento un poco abrumado por la cantidad de cosas que quiero dibujar ver jugar y leer odio esta sensación xdddd,13
Salvador la única persona que no la ha abrumado de versiones❤😒❤ #NadieComoTú,Preocupado,salvador la única persona que no la ha abrumado de versiones,13
Denme un helado o algo que ando full abrumado.,Preocupado,denme un helado o algo que ando full abrumado,13
"Estoy abrumado de airdrops , de youtube y de todo. Es imposible gestionarlo todo , todo se mueve muy rápido. O determino un plan o me quemo",Preocupado,estoy abrumado de airdrops  de youtube y de todo es imposible gestionarlo todo  todo se mueve muy rápido o determino un plan o me quemo,13
"#MicroCuento: A veces, sin motivo aparente, o, más bien, por razones quizás fútiles, se le venían encima unas nostalgias inmensas, que lo dejaban paralizado y abrumado... ¿Serían los ""Heraldos Negros"" de los que hablaba Vallejo?...",Preocupado,a veces sin motivo aparente o más bien por razones quizás fútiles se le venían encima unas nostalgias inmensas que lo dejaban paralizado y abrumado serían los heraldos negros de los que hablaba vallejo,13
"Oh, las vacaciones. Tesoros inciertos, venideros y preciados para cualquier trabajador abrumado por la sobreexplotación. Un sueño fugaz en el que el dinero parecía no importar, a cambio de un breve respiro de placer, diversión y alivio.  Su tesoro perdido, ahora convertido",Preocupado,oh las vacaciones tesoros inciertos venideros y preciados para cualquier trabajador abrumado por la sobreexplotación un sueño fugaz en el que el dinero parecía no importar a cambio de un breve respiro de placer diversión y alivio  su tesoro perdido ahora convertido,13
me siento muy abrumado,Preocupado,me siento muy abrumado,13
"Consejo  que nadie pidió:  Si un día te sientes abrumado, triste, enojado, ansioso…   Cierra tus ojos, y piérdete en tu respiración",Preocupado,consejo  que nadie pidió  si un día te sientes abrumado triste enojado ansioso   cierra tus ojos y piérdete en tu respiración,13
"Y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones: hambre o sueño. Hoy resultó ser la segunda y ya, hijo dormido a las 8 p. m.  🥳",Preocupado,y entonces aprendimos que si está desbordado y ni él se aguanta es por dos razones hambre o sueño hoy resultó ser la segunda y ya hijo dormido a las 8 p m,13
NADA se va a solucionar sin una ley anti fake news. El manejo de la información está absolutamente desbordado.,Preocupado,nada se va a solucionar sin una ley anti fake news el manejo de la información está absolutamente desbordado,13
"Yo lo que veo en este presidente es un ego desbordado, un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais.",Preocupado,yo lo que veo en este presidente es un ego desbordado un aire de superioridad y bastantante indolencia sobre la tragedia que vive el pais,13
estoy desbordado,Preocupado,estoy desbordado,13
Dios estoy desbordado,Preocupado,dios estoy desbordado,13
Desbordado de felicidad y de ansiedad🥹🫶🏽,Preocupado,desbordado de felicidad y de ansiedad,13
"Termino de lavar la loza,tomo un vaso de agua y ya esta desbordado de platos y ollas sucias",Preocupado,termino de lavar la lozatomo un vaso de agua y ya esta desbordado de platos y ollas sucias,13
